rt;order;latinsqrn;phrase;subject;condition;idnumber;idfull;rtLog;context;quantifier
377;88;1;masking_go;160;FPS;8;FPS_8;2,57634135;FP;S
2393;89;1;CNTX;160;FPS;8;FPS_8;3,378942699;FP;S
420;90;1;PREG;160;FPS;8;FPS_8;2,641474111;FP;S
1032;91;1;blanco_CUANT;160;FPS;8;FPS_8;3,013679697;FP;S
755;92;1;blanco_REST;160;FPS;8;FPS_8;2,877946952;FP;S
502;93;1;masking_nogo;160;FPA;3;FPA_3;2,700703717;FP;A
514;94;1;masking_go;160;FPA;3;FPA_3;2,710963119;FP;A
2016;95;1;CNTX;160;FPA;3;FPA_3;3,304490528;FP;A
1342;96;1;PREG;160;FPA;3;FPA_3;3,145817714;FP;A
1301;97;1;blanco_CUANT;160;FPA;3;FPA_3;3,114277297;FP;A
877;98;1;blanco_REST;160;FPA;3;FPA_3;2,942999593;FP;A
1660;1;1;masking_nogo;1922;FPS;10;FPS_10;3,220108088;FP;S
912;2;1;masking_go;1922;FPS;10;FPS_10;2,959994838;FP;S
2821;3;1;CNTX;1922;FPS;10;FPS_10;3,450403086;FP;S
1624;4;1;PREG;1922;FPS;10;FPS_10;3,228656958;FP;S
1962;5;1;blanco_CUANT;1922;FPS;10;FPS_10;3,292699003;FP;S
1674;6;1;blanco_REST;1922;FPS;10;FPS_10;3,223755454;FP;S
996;7;1;masking_nogo;1922;CNA;13;CNA_13;2,998259338;CN;A
637;8;1;masking_go;1922;CNA;13;CNA_13;2,804139432;CN;A
2971;9;1;CNTX;1922;CNA;13;CNA_13;3,472902652;CN;A
2226;10;1;PREG;1922;CNA;13;CNA_13;3,34752516;CN;A
1612;11;1;blanco_CUANT;1922;CNA;13;CNA_13;3,207365037;CN;A
3005;12;1;blanco_REST;1922;CNA;13;CNA_13;3,477844476;CN;A
1387;13;1;masking_nogo;1922;FPA;1;FPA_1;3,142076461;FP;A
597;14;1;masking_go;1922;FPA;1;FPA_1;2,775974331;FP;A
5152;15;1;CNTX;1922;FPA;1;FPA_1;3,711975854;FP;A
1143;16;1;PREG;1922;FPA;1;FPA_1;3,076276255;FP;A
2997;17;1;blanco_CUANT;1922;FPA;1;FPA_1;3,476686743;FP;A
1410;18;1;blanco_REST;1922;FPA;1;FPA_1;3,149219113;FP;A
3455;19;1;preg_Y;1922;FPA;1;FPA_1;3,538448052;FP;A
1866;20;1;;1922;FPA;1;FPA_1;3,270911639;FP;A
1074;21;1;masking_nogo;1922;FPS;9;FPS_9;3,031004281;FP;S
1127;22;1;masking_go;1922;FPS;9;FPS_9;3,051923916;FP;S
1934;23;1;CNTX;1922;FPS;9;FPS_9;3,28645647;FP;S
1761;24;1;PREG;1922;FPS;9;FPS_9;3,263872677;FP;S
1344;25;1;blanco_CUANT;1922;FPS;9;FPS_9;3,128399269;FP;S
1687;26;1;blanco_REST;1922;FPS;9;FPS_9;3,227115083;FP;S
1601;27;1;masking_nogo;1922;FPA;3;FPA_3;3,204391332;FP;A
1156;28;1;masking_go;1922;FPA;3;FPA_3;3,062957834;FP;A
6053;29;1;CNTX;1922;FPA;3;FPA_3;3,781970674;FP;A
1556;30;1;PREG;1922;FPA;3;FPA_3;3,21031852;FP;A
2068;31;1;blanco_CUANT;1922;FPA;3;FPA_3;3,315550534;FP;A
1249;32;1;blanco_REST;1922;FPA;3;FPA_3;3,096562438;FP;A
1479;33;1;masking_nogo;1922;CNA;15;CNA_15;3,169968174;CN;A
659;34;1;masking_go;1922;CNA;15;CNA_15;2,818885415;CN;A
2341;35;1;CNTX;1922;CNA;15;CNA_15;3,369401414;CN;A
844;36;1;PREG;1922;CNA;15;CNA_15;2,926342447;CN;A
1315;37;1;blanco_CUANT;1922;CNA;15;CNA_15;3,118925753;CN;A
3190;38;1;blanco_REST;1922;CNA;15;CNA_15;3,503790683;CN;A
3090;39;1;preg_N;1922;CNA;15;CNA_15;3,489958479;CN;A
1598;40;1;;1922;CNA;15;CNA_15;3,203576775;CN;A
1397;41;1;masking_nogo;1922;FPA;2;FPA_2;3,145196406;FP;A
972;42;1;masking_go;1922;FPA;2;FPA_2;2,987666265;FP;A
2560;43;1;CNTX;1922;FPA;2;FPA_2;3,408239965;FP;A
1212;44;1;PREG;1922;FPA;2;FPA_2;3,101747074;FP;A
1637;45;1;blanco_CUANT;1922;FPA;2;FPA_2;3,214048679;FP;A
2409;46;1;blanco_REST;1922;FPA;2;FPA_2;3,3818368;FP;A
2941;47;1;preg_N;1922;FPA;2;FPA_2;3,468495025;FP;A
3899;48;1;;1922;FPA;2;FPA_2;3,590953235;FP;A
1389;49;1;masking_nogo;1922;CNA;14;CNA_14;3,142702246;CN;A
1016;50;1;masking_go;1922;CNA;14;CNA_14;3,006893708;CN;A
3427;51;1;CNTX;1922;CNA;14;CNA_14;3,534914104;CN;A
1503;52;1;PREG;1922;CNA;14;CNA_14;3,176958981;CN;A
1418;53;1;blanco_CUANT;1922;CNA;14;CNA_14;3,151676231;CN;A
2173;54;1;blanco_REST;1922;CNA;14;CNA_14;3,337059726;CN;A
1187;55;1;masking_nogo;1922;FPS;8;FPS_8;3,074450719;FP;S
833;56;1;masking_go;1922;FPS;8;FPS_8;2,920645001;FP;S
2261;57;1;CNTX;1922;FPS;8;FPS_8;3,354300562;FP;S
1269;58;1;PREG;1922;FPS;8;FPS_8;3,121559844;FP;S
1844;59;1;blanco_CUANT;1922;FPS;8;FPS_8;3,265760917;FP;S
2209;60;1;blanco_REST;1922;FPS;8;FPS_8;3,344195716;FP;S
1362;61;1;masking_nogo;1922;FPS;6;FPS_6;3,134177108;FP;S
790;62;1;masking_go;1922;FPS;6;FPS_6;2,897627091;FP;S
2028;63;1;CNTX;1922;FPS;6;FPS_6;3,307067951;FP;S
1744;64;1;PREG;1922;FPS;6;FPS_6;3,259832699;FP;S
3005;65;1;blanco_CUANT;1922;FPS;6;FPS_6;3,477844476;FP;S
1806;66;1;blanco_REST;1922;FPS;6;FPS_6;3,256717746;FP;S
745;67;1;masking_nogo;1922;FPA;5;FPA_5;2,872156273;FP;A
736;68;1;masking_go;1922;FPA;5;FPA_5;2,866877814;FP;A
3233;69;1;CNTX;1922;FPA;5;FPA_5;3,509605705;FP;A
827;70;1;PREG;1922;FPA;5;FPA_5;2,935507266;FP;A
1060;71;1;blanco_CUANT;1922;FPA;5;FPA_5;3,025305865;FP;A
1601;72;1;blanco_REST;1922;FPA;5;FPA_5;3,204391332;FP;A
619;73;1;masking_nogo;1922;CNA;11;CNA_11;2,791690649;CN;A
613;74;1;masking_go;1922;CNA;11;CNA_11;2,787460475;CN;A
3283;75;1;CNTX;1922;CNA;11;CNA_11;3,516270883;CN;A
1218;76;1;PREG;1922;CNA;11;CNA_11;3,085647288;CN;A
2581;77;1;blanco_CUANT;1922;CNA;11;CNA_11;3,411788005;CN;A
1682;78;1;blanco_REST;1922;CNA;11;CNA_11;3,225825991;CN;A
1029;79;1;masking_nogo;1922;CNA;12;CNA_12;3,012415375;CN;A
642;80;1;masking_go;1922;CNA;12;CNA_12;2,807535028;CN;A
4305;81;1;CNTX;1922;CNA;12;CNA_12;3,633973156;CN;A
854;82;1;PREG;1922;CNA;12;CNA_12;2,931457871;CN;A
1392;83;1;blanco_CUANT;1922;CNA;12;CNA_12;3,143639235;CN;A
863;84;1;blanco_REST;1922;CNA;12;CNA_12;2,936010796;CN;A
2303;85;1;preg_Y;1922;CNA;12;CNA_12;3,362293938;CN;A
1148;86;1;;1922;CNA;12;CNA_12;3,059941888;CN;A
551;87;1;masking_nogo;1922;FPS;7;FPS_7;2,741151599;FP;S
298;88;1;masking_go;1922;FPS;7;FPS_7;2,474216264;FP;S
3541;89;1;CNTX;1922;FPS;7;FPS_7;3,549125927;FP;S
830;90;1;PREG;1922;FPS;7;FPS_7;2,937016107;FP;S
1793;91;1;blanco_CUANT;1922;FPS;7;FPS_7;3,25358029;FP;S
997;92;1;blanco_REST;1922;FPS;7;FPS_7;2,998695158;FP;S
956;93;1;masking_nogo;1922;FPA;4;FPA_4;2,980457892;FP;A
394;94;1;masking_go;1922;FPA;4;FPA_4;2,595496222;FP;A
3427;95;1;CNTX;1922;FPA;4;FPA_4;3,534914104;FP;A
1170;96;1;PREG;1922;FPA;4;FPA_4;3,086359831;FP;A
2159;97;1;blanco_CUANT;1922;FPA;4;FPA_4;3,334252642;FP;A
890;98;1;blanco_REST;1922;FPA;4;FPA_4;2,949390007;FP;A
1257;1;1;masking_nogo;2069;CNA;13;CNA_13;3,099335278;CN;A
538;2;1;masking_go;2069;CNA;13;CNA_13;2,730782276;CN;A
3073;3;1;CNTX;2069;CNA;13;CNA_13;3,48756256;CN;A
2000;4;1;PREG;2069;CNA;13;CNA_13;3,301029996;CN;A
1070;5;1;blanco_CUANT;2069;CNA;13;CNA_13;3,029383778;CN;A
1288;6;1;blanco_REST;2069;CNA;13;CNA_13;3,109915863;CN;A
550;7;1;masking_nogo;2069;FPA;4;FPA_4;2,740362689;FP;A
410;8;1;masking_go;2069;FPA;4;FPA_4;2,612783857;FP;A
1235;9;1;CNTX;2069;FPA;4;FPA_4;3,091666958;FP;A
1314;10;1;PREG;2069;FPA;4;FPA_4;3,136720567;FP;A
1084;11;1;blanco_CUANT;2069;FPA;4;FPA_4;3,035029282;FP;A
805;12;1;blanco_REST;2069;FPA;4;FPA_4;2,90579588;FP;A
517;13;1;masking_nogo;2069;FPS;8;FPS_8;2,713490543;FP;S
418;14;1;masking_go;2069;FPS;8;FPS_8;2,621176282;FP;S
1079;15;1;CNTX;2069;FPS;8;FPS_8;3,033021445;FP;S
742;16;1;PREG;2069;FPS;8;FPS_8;2,888740961;FP;S
883;17;1;blanco_CUANT;2069;FPS;8;FPS_8;2,945960704;FP;S
785;18;1;blanco_REST;2069;FPS;8;FPS_8;2,894869657;FP;S
-1;19;1;masking_nogo;2069;FPS;7;FPS_7;NA;FP;S
338;20;1;masking_go;2069;FPS;7;FPS_7;2,5289167;FP;S
1458;21;1;CNTX;2069;FPS;7;FPS_7;3,163757524;FP;S
