subject;index;acceptability;condition;idnumber
50;58;6;CNA;8
51;16;5;FPA;19
51;22;4;CNA;7
51;24;5;FPS;6
51;28;3;CNS;20
51;36;4;CNA;9
51;38;2;FPS;9
51;46;1;CNS;18
51;50;5;CNA;10
51;52;6;CNS;17
51;56;0;FPS;7
51;60;1;FPA;17
51;64;5;FPS;10
51;68;0;CNS;19
51;76;6;FPA;20
51;78;0;CNA;6
51;80;6;CNA;8
51;82;2;FPA;16
51;94;1;CNS;16
52;16;3;CNS;19
52;18;6;FPA;18
52;20;6;CNA;9
52;28;6;FPS;6
52;32;6;FPS;9
52;36;6;FPA;20
52;38;0;CNS;18
52;42;6;CNA;7
52;52;6;FPA;17
52;54;0;CNA;6
52;60;6;CNS;17
52;62;6;FPS;8
52;66;0;CNS;20
52;68;6;CNA;8
52;70;6;FPS;10
52;76;6;FPA;16
52;80;6;FPA;19
52;84;6;CNA;10
52;92;6;FPS;7
52;94;6;CNS;16
53;18;6;FPA;19
53;22;5;FPS;10
53;26;4;CNA;7
53;34;5;CNA;6
53;40;6;CNS;16
53;42;5;FPS;7
53;46;5;FPA;18
53;50;0;CNS;18
53;52;3;CNA;8
53;58;6;FPS;8
53;70;6;FPS;6
53;72;5;CNA;10
53;76;3;CNS;19
53;78;6;FPA;20
53;84;5;CNS;17
53;86;4;FPA;17
53;88;2;FPS;9
53;92;5;CNA;9
54;16;4;CNA;13
54;20;5;CNS;4
54;22;3;FPS;11
54;30;4;FPA;2
54;36;1;CNS;5
54;42;6;FPS;12
54;46;3;CNA;11
54;48;6;CNA;15
54;50;4;CNS;1
54;56;5;FPS;14
54;60;6;FPA;4
54;64;0;FPS;15
54;70;4;CNA;12
54;74;0;CNS;3
54;76;4;FPA;1
54;80;0;CNS;2
54;84;6;FPS;13
54;92;3;FPA;5
54;94;5;CNA;14
55;18;6;FPA;4
55;22;6;CNS;2
55;26;6;FPS;11
55;30;5;CNA;14
55;36;1;CNA;13
55;40;6;FPA;2
55;44;6;FPS;15
55;46;6;CNS;4
55;52;3;FPA;5
55;54;6;FPS;14
55;58;2;CNS;3
55;82;6;FPS;12
55;84;3;CNS;1
56;18;6;CNA;12
56;20;6;FPA;3
56;24;3;FPS;13
56;34;5;FPA;1
56;36;5;CNA;15
56;38;3;FPS;11
56;46;2;CNS;1
56;52;6;FPA;4
56;54;5;CNS;2
56;56;3;FPS;14
56;60;3;CNA;11
56;64;0;FPS;15
56;68;3;FPA;2
56;70;3;CNA;14
56;78;4;CNS;4
56;84;3;FPA;5
56;90;4;CNA;13
56;92;4;FPS;12
56;94;0;CNS;5
57;16;6;FPS;13
57;18;5;FPA;4
57;26;4;CNS;2
57;34;0;CNS;1
57;36;4;CNA;15
57;38;3;FPS;12
57;46;3;FPA;2
57;50;3;FPS;11
57;54;1;CNA;11
57;56;1;CNS;5
57;62;5;FPA;3
57;68;5;FPA;5
57;74;1;CNS;3
57;76;3;FPS;14
57;78;4;CNA;13
57;82;5;CNS;4
57;86;4;FPA;1
57;88;0;FPS;15
57;90;4;CNA;14
58;16;5;CNA;15
58;20;6;FPS;12
58;26;4;FPA;2
58;30;3;CNS;1
58;36;1;FPA;1
58;38;4;CNA;12
58;42;4;CNS;4
58;46;3;FPS;14
58;48;4;FPS;11
58;50;3;CNS;2
58;58;4;CNA;14
58;62;5;FPA;4
58;68;3;FPS;15
58;76;4;CNA;13
58;84;4;CNS;3
58;86;4;FPS;13
58;90;4;FPA;5
58;92;2;CNA;11
59;16;2;CNS;3
59;18;0;CNA;12
